        UB            Time(s)
exec #1
       689                 0.0
       678                29.9
       670              3595.2
exec #2
       689                 0.0
       678                28.5
exec #3
       689                 0.0
       687                27.4
       678                29.3
       670               175.1
exec #4
       689                 0.0
       678                24.8
       670              1873.4
exec #5
       689                 0.0
       678                26.1
       670              3244.0
exec #6
       689                 0.0
       678                26.9
exec #7
       689                 0.0
       686                28.7
       678                29.3
exec #8
       689                 0.0
       678                26.6
exec #9
       689                 0.0
       678                27.0
exec #10
       689                 0.0
       678                28.5
       670                31.7

solutions/BRKGA/R07_12_05_10             670             678             670             670             670             678             678             678             678             670       36011.278
