             UB              LB           Time(s)
            501             416               0.1
            501             437               0.3
            501             439               0.3
            501             444               0.4
            501             453               0.6
            501             458               0.8
            501             459               0.8
            501             462               0.9
            501             463               1.0
            501             464               1.0
            501             465               1.1
            501             466               1.2
            501             467               1.3
            501             468               2.0
            501             469               2.1
            501             470               2.3
            501             471               2.4
            501             472               2.4
            501             473               2.5
            501             474               2.6
            501             476               2.9
            501             477               3.0
            501             478               3.0
            501             493               3.8
            501             494               3.8
            501             495               3.8
            501             500               3.8
            501             501               3.8

../solutions/ILP1/R09_06_03_02         501.000             501             501             501               0         0.00000           3.771               1

